"VMName","VMOS","VMSize","VMPublisher","VMOffer","VMSKU","VMVersion"
"az-dmo2","Windows","Standard_B1ms","MicrosoftWindowsServer","WindowsServer","2019-Datacenter-smalldisk","2019.0.20190603"
"az-dmo1","Linux","Standard_B1ms","Canonical","UbuntuServer","18.04-LTS","18.04.201909030"
